SATELLITE;BIDS;WAVELENGTH;RSR
Landsat 7;7;2395;0
Landsat 7;7;2400;0
Landsat 7;8;500;0
Landsat 7;8;502;0.001
Landsat 7;8;504;0.008
Landsat 7;8;506;0.027
Landsat 7;8;508;0.066
Landsat 7;8;510;0.15
Landsat 7;8;512;0.289
Landsat 7;8;514;0.447
Landsat 7;8;516;0.556
Landsat 7;8;518;0.594
Landsat 7;8;520;0.599
Landsat 7;8;522;0.6
Landsat 7;8;524;0.607
Landsat 7;8;526;0.612
Landsat 7;8;528;0.615
Landsat 7;8;530;0.61
Landsat 7;8;532;0.604
Landsat 7;8;534;0.602
Landsat 7;8;536;0.605
Landsat 7;8;538;0.614
Landsat 7;8;540;0.627
Landsat 7;8;542;0.637
Landsat 7;8;544;0.643
Landsat 7;8;546;0.646
Landsat 7;8;548;0.643
Landsat 7;8;550;0.632
Landsat 7;8;552;0.627
Landsat 7;8;554;0.623
Landsat 7;8;556;0.626
Landsat 7;8;558;0.634
Landsat 7;8;560;0.642
Landsat 7;8;562;0.655
Landsat 7;8;564;0.672
Landsat 7;8;566;0.683
Landsat 7;8;568;0.692
Landsat 7;8;570;0.697
Landsat 7;8;572;0.7
Landsat 7;8;574;0.702
Landsat 7;8;576;0.708
Landsat 7;8;578;0.712
Landsat 7;8;580;0.713
Landsat 7;8;582;0.716
Landsat 7;8;584;0.718
Landsat 7;8;586;0.718
Landsat 7;8;588;0.71
Landsat 7;8;590;0.707
Landsat 7;8;592;0.705
Landsat 7;8;594;0.701
Landsat 7;8;596;0.705
Landsat 7;8;598;0.718
Landsat 7;8;600;0.73
Landsat 7;8;602;0.742
Landsat 7;8;604;0.75
Landsat 7;8;606;0.757
Landsat 7;8;608;0.763
Landsat 7;8;610;0.764
Landsat 7;8;612;0.755
Landsat 7;8;614;0.748
Landsat 7;8;616;0.742
Landsat 7;8;618;0.733
Landsat 7;8;620;0.729
Landsat 7;8;622;0.728
Landsat 7;8;624;0.73
Landsat 7;8;626;0.732
Landsat 7;8;628;0.733
Landsat 7;8;630;0.734
Landsat 7;8;632;0.742
Landsat 7;8;634;0.748
Landsat 7;8;636;0.751
Landsat 7;8;638;0.755
Landsat 7;8;640;0.758
Landsat 7;8;642;0.76
Landsat 7;8;644;0.767
Landsat 7;8;646;0.769
Landsat 7;8;648;0.773
Landsat 7;8;650;0.779
Landsat 7;8;652;0.781
Landsat 7;8;654;0.783
Landsat 7;8;656;0.787
Landsat 7;8;658;0.791
Landsat 7;8;660;0.793
Landsat 7;8;662;0.792
Landsat 7;8;664;0.791
Landsat 7;8;666;0.792
Landsat 7;8;668;0.796
Landsat 7;8;670;0.798
Landsat 7;8;672;0.801
Landsat 7;8;674;0.804
Landsat 7;8;676;0.808
Landsat 7;8;678;0.815
Landsat 7;8;680;0.82
Landsat 7;8;682;0.827
Landsat 7;8;684;0.829
Landsat 7;8;686;0.834
Landsat 7;8;688;0.838
Landsat 7;8;690;0.842
Landsat 7;8;692;0.847
Landsat 7;8;694;0.853
Landsat 7;8;696;0.856
Landsat 7;8;698;0.862
Landsat 7;8;700;0.868
Landsat 7;8;702;0.871
Landsat 7;8;704;0.876
Landsat 7;8;706;0.883
Landsat 7;8;708;0.886
Landsat 7;8;710;0.892
Landsat 7;8;712;0.894
Landsat 7;8;714;0.896
Landsat 7;8;716;0.896
Landsat 7;8;718;0.894
Landsat 7;8;720;0.894
Landsat 7;8;722;0.894
Landsat 7;8;724;0.895
Landsat 7;8;726;0.896
Landsat 7;8;728;0.898
Landsat 7;8;730;0.9
Landsat 7;8;732;0.903
Landsat 7;8;734;0.904
Landsat 7;8;736;0.903
Landsat 7;8;738;0.902
Landsat 7;8;740;0.9
Landsat 7;8;742;0.897
Landsat 7;8;744;0.896
Landsat 7;8;746;0.891
Landsat 7;8;748;0.88
Landsat 7;8;750;0.879
Landsat 7;8;752;0.88
Landsat 7;8;754;0.873
Landsat 7;8;756;0.873
Landsat 7;8;758;0.877
Landsat 7;8;760;0.88
Landsat 7;8;762;0.88
Landsat 7;8;764;0.885
Landsat 7;8;766;0.888
Landsat 7;8;768;0.892
Landsat 7;8;770;0.893
Landsat 7;8;772;0.902
Landsat 7;8;774;0.908
Landsat 7;8;776;0.913
Landsat 7;8;778;0.92
Landsat 7;8;780;0.92
Landsat 7;8;782;0.918
Landsat 7;8;784;0.916
Landsat 7;8;786;0.916
Landsat 7;8;788;0.919
Landsat 7;8;790;0.918
Landsat 7;8;792;0.917
Landsat 7;8;794;0.916
Landsat 7;8;796;0.915
Landsat 7;8;798;0.918
Landsat 7;8;800;0.927
Landsat 7;8;802;0.928
Landsat 7;8;804;0.932
Landsat 7;8;806;0.943
Landsat 7;8;808;0.952
Landsat 7;8;810;0.957
Landsat 7;8;812;0.962
Landsat 7;8;814;0.969
Landsat 7;8;816;0.97
Landsat 7;8;818;0.972
Landsat 7;8;820;0.977
Landsat 7;8;822;0.979
Landsat 7;8;824;0.981
Landsat 7;8;826;0.987
Landsat 7;8;828;0.992
Landsat 7;8;830;0.997
Landsat 7;8;832;0.998
Landsat 7;8;834;1
Landsat 7;8;836;0.996
Landsat 7;8;838;0.995
Landsat 7;8;840;0.994
Landsat 7;8;842;0.992
Landsat 7;8;844;0.992
Landsat 7;8;846;0.994
Landsat 7;8;848;0.992
Landsat 7;8;850;0.987
Landsat 7;8;852;0.978
Landsat 7;8;854;0.968
Landsat 7;8;856;0.962
Landsat 7;8;858;0.957
Landsat 7;8;860;0.949
Landsat 7;8;862;0.937
Landsat 7;8;864;0.928
Landsat 7;8;866;0.92
Landsat 7;8;868;0.911
Landsat 7;8;870;0.907
Landsat 7;8;872;0.905
Landsat 7;8;874;0.906
Landsat 7;8;876;0.911
Landsat 7;8;878;0.922
Landsat 7;8;880;0.94
Landsat 7;8;882;0.962
Landsat 7;8;884;0.977
Landsat 7;8;886;0.979
Landsat 7;8;888;0.957
Landsat 7;8;890;0.895
Landsat 7;8;892;0.787
Landsat 7;8;894;0.647
Landsat 7;8;896;0.496
Landsat 7;8;898;0.363
Landsat 7;8;900;0.258
Landsat 7;8;902;0.181
Landsat 7;8;904;0.127
Landsat 7;8;906;0.089
Landsat 7;8;908;0.062
Landsat 7;8;910;0.044
Landsat 7;8;912;0.032
Landsat 7;8;914;0.023
Landsat 7;8;916;0.016
Landsat 7;8;918;0.012
Landsat 7;8;920;0.008
Landsat 7;8;922;0.006
Landsat 7;8;924;0.004
Landsat 7;8;926;0.003
Landsat 7;8;928;0.002
Landsat 7;8;930;0.002
Landsat 7;8;932;0.001
Landsat 7;8;934;0
Landsat 7;8;936;0
Landsat 7;8;938;0
Landsat 7;8;940;0
