SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;3;537;0.954627;0.002951
Landsat 8;3;538;0.954163;0.002802
Landsat 8;3;539;0.959215;0.002718
Landsat 8;3;540;0.961328;0.002714
Landsat 8;3;541;0.964902;0.002708
Landsat 8;3;542;0.969873;0.002588
Landsat 8;3;543;0.952489;0.003426
Landsat 8;3;544;0.961397;0.003168
Landsat 8;3;545;0.97827;0.002323
Landsat 8;3;546;0.977533;0.002266
Landsat 8;3;547;0.977001;0.001816
Landsat 8;3;548;0.980884;0.001408
Landsat 8;3;549;0.990784;0.000915
Landsat 8;3;550;1;0.000282
Landsat 8;3;551;0.992264;0.001045
Landsat 8;3;552;0.982642;0.001703
Landsat 8;3;553;0.983832;0.001861
Landsat 8;3;554;0.977765;0.001984
Landsat 8;3;555;0.965081;0.002449
Landsat 8;3;556;0.957314;0.002903
Landsat 8;3;557;0.946245;0.003099
Landsat 8;3;558;0.947871;0.00324
Landsat 8;3;559;0.959038;0.002449
Landsat 8;3;560;0.966534;0.002286
Landsat 8;3;561;0.977656;0.001648
Landsat 8;3;562;0.966447;0.001968
Landsat 8;3;563;0.953399;0.002548
Landsat 8;3;564;0.958314;0.002526
Landsat 8;3;565;0.970039;0.002366
Landsat 8;3;566;0.978607;0.002373
Landsat 8;3;567;0.983397;0.002438
Landsat 8;3;568;0.98096;0.002474
Landsat 8;3;569;0.974522;0.00258
Landsat 8;3;570;0.967229;0.002956
Landsat 8;3;571;0.979406;0.002703
Landsat 8;3;572;0.978208;0.002968
Landsat 8;3;573;0.975818;0.00333
Landsat 8;3;574;0.974392;0.003634
Landsat 8;3;575;0.979973;0.003144
Landsat 8;3;576;0.968827;0.003495
Landsat 8;3;577;0.969181;0.003109
Landsat 8;3;578;0.967838;0.003323
Landsat 8;3;579;0.982956;0.00309
Landsat 8;3;580;0.979598;0.003248
Landsat 8;3;581;0.963811;0.003836
Landsat 8;3;582;0.968886;0.003838
Landsat 8;3;583;0.983655;0.003226
Landsat 8;3;584;0.986657;0.003208
Landsat 8;3;585;0.974207;0.003701
Landsat 8;3;586;0.946407;0.005001
Landsat 8;3;587;0.904478;0.006785
Landsat 8;3;588;0.809275;0.00929
Landsat 8;3;589;0.684974;0.011541
Landsat 8;3;590;0.525304;0.013513
Landsat 8;3;591;0.345364;0.013662
Landsat 8;3;592;0.190467;0.010577
Landsat 8;3;593;0.087833;0.005865
Landsat 8;3;594;0.035393;0.002454
Landsat 8;3;595;0.014077;0.00101
Landsat 8;3;596;0.005944;0.000452
Landsat 8;3;597;0.002574;0.000272
Landsat 8;3;598;0.001046;0.000208
Landsat 8;3;599;0.000394;0.000197
Landsat 8;3;600;0.000085;0.0002
Landsat 8;3;601;-0.000084;0.000203
Landsat 8;3;602;-0.000194;0.0002
Landsat 8;3;603;-0.000234;0.000195
Landsat 8;3;604;-0.000292;0.000199
Landsat 8;3;605;-0.000307;0.000196
Landsat 8;3;606;-0.000343;0.000202
Landsat 8;3;607;-0.000348;0.000192
Landsat 8;3;608;-0.000329;0.000201
Landsat 8;3;609;-0.000351;0.000196
Landsat 8;3;610;-0.000317;0.0002
Landsat 8;4;625;-0.000342;-0.000364
Landsat 8;4;626;0.00027;0.000114
Landsat 8;4;627;0.000895;0.000477
Landsat 8;4;628;0.00185;0.00047
Landsat 8;4;629;0.003648;0.000514
Landsat 8;4;630;0.007197;0.000668
Landsat 8;4;631;0.014515;0.001066
Landsat 8;4;632;0.030432;0.002135
Landsat 8;4;633;0.066861;0.004894
Landsat 8;4;634;0.148518;0.010724
Landsat 8;4;635;0.299778;0.020014
Landsat 8;4;636;0.526812;0.02582
Landsat 8;4;637;0.764443;0.021512
Landsat 8;4;638;0.905473;0.010452
Landsat 8;4;639;0.947949;0.005548
Landsat 8;4;640;0.950823;0.005701
Landsat 8;4;641;0.947418;0.005444
Landsat 8;4;642;0.951831;0.004804
Landsat 8;4;643;0.962705;0.004118
Landsat 8;4;644;0.975075;0.003013
Landsat 8;4;645;0.984173;0.001838
Landsat 8;4;646;0.983613;0.002307
Landsat 8;4;647;0.983434;0.002691
Landsat 8;4;648;0.982911;0.00372
Landsat 8;4;649;0.973636;0.00484
Landsat 8;4;650;0.959441;0.004656
Landsat 8;4;651;0.955641;0.00399
Landsat 8;4;652;0.955548;0.004097
Landsat 8;4;653;0.953337;0.004213
Landsat 8;4;654;0.956628;0.003756
Landsat 8;4;655;0.981688;0.00234
Landsat 8;4;656;1;0.00189
Landsat 8;4;657;0.992388;0.002291
Landsat 8;4;658;0.984615;0.003594
Landsat 8;4;659;0.981568;0.004231
Landsat 8;4;660;0.97696;0.004185
Landsat 8;4;661;0.97298;0.003738
Landsat 8;4;662;0.98108;0.003333
Landsat 8;4;663;0.996804;0.003162
Landsat 8;4;664;0.992142;0.00321
Landsat 8;4;665;0.980678;0.002543
Landsat 8;4;666;0.964002;0.003527
Landsat 8;4;667;0.962154;0.005339
Landsat 8;4;668;0.970778;0.004927
Landsat 8;4;669;0.96718;0.006328
Landsat 8;4;670;0.966928;0.006656
Landsat 8;4;671;0.949928;0.00706
Landsat 8;4;672;0.848855;0.01626
Landsat 8;4;673;0.609359;0.030857
Landsat 8;4;674;0.31635;0.028364
Landsat 8;4;675;0.123946;0.013726
Landsat 8;4;676;0.046033;0.00511
Landsat 8;4;677;0.017702;0.001898
